location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
"Sanjay Palace, Agra - UPPCB",Agra,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,co,62000,µg/m³,27.19865833,78.00598056,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Lalbagh, Lucknow - CPCB",Lucknow,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,o3,25,µg/m³,26.8458805,80.9365541,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Central University, Hyderabad - TSPCB",Hyderabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,o3,76,µg/m³,17.460103,78.334361,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Nehru Nagar, Kanpur - UPPCB",Kanpur,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,co,120000,µg/m³,26.4703136,80.3229863,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Lajpat Nagar, Moradabad - UPPCB",Moradabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,no2,113,µg/m³,28.825341,78.7213009,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Ward-32 Bapupara, Siliguri - WBPCB",Siliguri,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,no2,50,µg/m³,26.6883049,88.412668,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Lajpat Nagar, Moradabad - UPPCB",Moradabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm10,234,µg/m³,28.825341,78.7213009,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Sector - 62, Noida, UP - IMD",Noida,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm25,142,µg/m³,28.6245479,77.3577104,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Manali, Chennai - CPCB",Chennai,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,so2,11,µg/m³,13.164544,80.26285,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Padmapukur, Howrah - WBPCB",Howrah,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,so2,4,µg/m³,22.5687319,88.2797276,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Vasundhara, Ghaziabad, UP - UPPCB",Ghaziabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,so2,41,µg/m³,28.6603346,77.3572563,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Nehru Nagar, Kanpur - UPPCB",Kanpur,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm25,113,µg/m³,26.4703136,80.3229863,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Manali, Chennai - CPCB",Chennai,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,no2,15,µg/m³,13.164544,80.26285,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Padmapukur, Howrah - WBPCB",Howrah,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm10,105,µg/m³,22.5687319,88.2797276,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
